	x	y
2119	what's the weather going to be like this week	date
2120	tell me about brentwood, will it snow sometime this week?	date&location&weather_attribute
2121	where can i get groceries?	poi_type
2122	are they within 3 miles?	distance
2123	navigate to the closest restaurant	distance&poi_type
2124	yes please and avoid all heavy traffic please.	traffic_info
2125	i need to find out the date and whoever is attending my lab appointment. 	event
2126	yes please that will be helpful.	event
2127	when is yoga and who is attending?	event
2128	is it supposed to drizzle in danville this thursday?	date&location&weather_attribute
2129	where can i go shopping?	poi_type
2130	is that the closest mall to me?	distance
2131	then let's go there, just pick the fastest route please	distance
2132	please give me the high temperature for new york for the next seven days. 	date&location&weather_attribute
2133	get directions to the nearest parking garage	distance&poi_type
2134	ok let's go there then. 	address&distance&poi&poi_type&traffic_info
2135	what is the temperature outside	location&weather_attribute
2136	san francisco	location
2137	is it raining today	date&weather_attribute
2138	oakland	location
2139	is it raining in brentwood now?	date&location&weather_attribute
2140	i need to take medicine on sunday	date&event
2141	please set it for 10am	time
2142	where can i get gas?	poi_type
2143	are you able to provide me with the fastest route and no traffic on it?	distance&traffic_info
2144	what's the time and date for the soonest yoga session?	event
2145	when are we getting together for football? and who's coming?	event
2146	when is football and who's coming?	event
2147	thursday.	date&event
2148	where does my friend live?	poi_type
2149	set gps for a route with the shortest distance.	distance
2150	car i need to get to the nearest shopping center, and i need the fastest route.	poi_type
2151	topanga mall is the nearest shopping mall and it's located 8 miles away.	poi_type
2152	thank you car, set the gps to go there on the fastest route, please	distance
2153	what's the weather like on my drive today	date
2154	camarillo, what the temperature?	location&weather_attribute
2155	remind me of my doctors appointment on the 8th at 2 pm	date&event&time
2156	what's the weather like today and tomorrow	date
2157	i need to know this information for grand rapids.	location
2158	what grocery stores are around?	poi_type
2159	sounds great! please pick a route with no traffic and let's go there!	poi_type&traffic_info
2160	i would like to schedule a meeting on the 12th what is my agenda for that day	agenda&date&event
2161	what time is my tennis activity and who is attending?	event
2162	yes, that would be helpful.	event
2163	good morning car, i'd like to schedule a conference at 7pm, next wednesday with hr please. 	date&event&party&time
2164	what is the temperature outside	weather_attribute
2165	i'm in carson	location
2166	schedule a football activity at 10 am on the 29th with my aunt.	date&event&party&time
2167	what is the weather forecast for the upcoming week	date
2168	will it be overcast in durham this week?	date&location&weather_attribute
2169	find me a coffee shop that is closest to my location.	distance&poi_type
2170	what is the date of my next doctor appointment and who will be attending?	event
2171	set a reminder for yoga activity at 5 pm on thursday with mother. 	date&event&party&time
2172	is it going to rain today	date&weather_attribute
2173	oakland	location
2174	find me the nearest grocery store	distance&poi_type
2175	then let's go there, pick the fastest route please!	traffic_info
2176	do you have the address?	address
2177	where can i get pizza?	poi_type
2178	pick the one whose route avoid all heavy traffic, please	traffic_info
2179	what is the weather like today in tomorrow	date
2180	will it rain in boston?	date&location&weather_attribute
2181	what is the weather forecast for the next 7 days	date
2182	i am wanting to know about mountain view please.	location
2183	hi car, can you find out the time and the parties involved for my yoga activity? thanks. 	event
2184	what is the date and time of my next tennis activity?	event
2185	find the closest parking lots to me please	distance&poi_type
2186	where are the pizza places around here?	poi_type
2187	set the route and avoid all heavy traffic please.	traffic_info
2188	please give me a list of hotels that are near me in the direction	distance&poi
2189	quickest route to home please.	poi&traffic_info
2190	will i be able to make it to my meeting on time	event
2191	car please show me my home in the map and pick a route with no traffic	poi&traffic_info
2192	can you find me the fastest route to a parking garage?	distance&poi_type
2193	what's the forecast for today	date
2194	please find out if it will be windy in seattle today.	date&location&weather_attribute
2195	where's the nearest place to get a hot cup of tea	distance&poi_type
2196	can you get me the fastest route please?	distance
2197	yes get me the address.	poi
2198	what's the forecast for the weather today	date
2199	i'd like to know if there are going to be blizzard on boston today	date&location&weather_attribute
2200	please look up the date and time of my swimming activity.	event
2201	car i need a hotel, please pick the fastest place to reach	distance&poi_type
2202	is it the quickest route?	traffic_info
2203	will it be any blizzard on sunday in alhambra?	date&location&weather_attribute
2204	what parties am i attending and what are the dates and times?	event
2205	what is the location, date, and agenda of my meeting?	event
2206	the one on the 5th.	date&event
2207	give me the closest fast food restaurant	distance&poi_type
2208	look for some pizza restaurant nearest to my position and send me the quickest route to reach, thanks!	distance&poi_type
2209	what time is my medicine and who is involved? 	event
2210	schedule a football game on tuesday at 6pm with marie	date&event&party&time
2211	give me weather forecast for today	date
2212	do you know if it's going to rain in cleveland today?	date&location&weather_attribute
2213	what is today's forecast	date
2214	will it rain in compton?	location&weather_attribute
2215	what's the weather like on my drive today	date
2216	im in new york, find out if there is snow today	date&location&weather_attribute
2217	quickest route to my friends house.	poi&poi_type&traffic_info
2218	yes, please show me the quickest route to go there!	distance
2219	check weather forecast for seattle	location
2220	for right now car. 	date
2221	car set up appointment for the 12th for my doctor on the calendar	date&event
2222	directions to the parking garage	poi_type
2223	yes, please give me the quickest route. 	distance&poi
2224	that will work fine, sure, thank you car, set the navigation there too	address&distance&poi&poi_type&traffic_info
2225	schedule a meeting with hr for 1pm tuesday to onboard new members.	agenda&event&party&time
2226	i need groceries.	poi_type
2227	which one has the quickest route?	distance&poi_type&traffic_info
2228	please show me a quick route to get there, thank you!	distance
2229	can you give me directions to a fast food place that serves pizza	poi_type
2230	yes, please give me and address and directions via a quick route. 	poi&traffic_info
2231	that's fine, please direct me via the quickest available route. 	distance
2232	where are there rest stops?	poi_type
2233	what's on the agenda for today's meeting	event
2234	what day and time is my swimming activity?	event
2235	find me the fastest route home and the address 	poi&poi_type&traffic_info
2236	i need the quickest route to a shopping center. 	distance&poi_type
2237	please pick a quick route with the least traffic to go there, thank you!	distance&poi&traffic_info
2238	could you tell me what day and time my meeting is on? 	event
2239	you tell me if the forecast for the next week calls for it to be above 86 degrees on any day	weather_attribute
2240	will there be dry weather in danville	location&weather_attribute
2241	schedule a swimming activity with jon on thursday at 4 pm.	date&event&party&time
2242	bring me to the nearest starbucks	poi
2243	i need directions to a local fast food restaurant please	distance&poi
2244	what are the route details to dominos?	poi
2245	tell me all the events and meetings scheduled on my calendar for today	date
2246	check forecast for today and tomorrow	date
2247	what's the weekly forecast for cleveland	date&location
2248	will there be any frost?	date&location&weather_attribute
2249	please schedule me an optometrist appointment at 2pm this week with jon.	date&event&party&time
2250	yes set it for this week, at 2pm with jon. thanks	event&party&time
2251	car please bring me to my friends house, it should be near me	poi_type
2252	yes that would be the one i need, make sure i don't have to deal with any traffic. 	traffic_info
2253	i have a meeting tomorrow at 5 pm remind me 10 minutes before hand and attach my agenda to the calendar at 3	agenda&date&event&time
2254	how hot is it going to be this week	date&weather_attribute
2255	los angeles.	location
2256	will there be drizzle in oakland tomorrow?	date&location&weather_attribute
2257	will there be a blizzard in seattle over the next 7 days?	date&location&weather_attribute
2258	what is the forecast for the rest of the day	date
2259	check inglewood and tell me if it will be overcast.	date&location&weather_attribute
2260	is it raining next week	date&weather_attribute
2261	carson.	location
2262	what is the weather like in the city	location
2263	i want know the temperature in san fancisco on wednesday	date&location&weather_attribute
2264	i have an optometrist appointment the 7th at 3pm	date&event&time
2265	thank you very much.	date&event&time
2266	what is the weather like in the city	location
2267	will it hail in alameda today?	date&location&weather_attribute
2268	what will the temperature in redwood city be for the next 7 day period?	date&location&weather_attribute
2269	find me all the nearest hotels	distance&poi_type
2270	let's go to the westin please. 	poi
2271	what day is the meeting in the conference room	event
2272	no.	event&room
2273	find me chinese food.	poi_type
2274	how close is it to me?	distance
2275	what's the weather like this week	date
2276	san mateo, please. 	date&location
2277	i need a reminder set for my lab appointment at 5pm today. jeff is joining. 	date&event&party&time
2278	check durham.	location
2279	will it be warm in the next two days?	date&weather_attribute
2280	oakland, please!	location
2281	start listening what will be the weather for the week	date
2282	can you tell me what if there is going to be a blizzard in cleveland?	location&weather_attribute
2283	okay, but is there a blizzard predicted in cleveland this week?	date&location&weather_attribute
2284	can you set a reminder that i have a dinner at 7pm with marie	event&party&time
2285	it is on the tenth. 	date
2286	give me directions to the nearest coffee place	distance&poi_type
2287	yes, please, show me the fastest route to go there!	distance&poi&poi_type&traffic_info
2288	what's the weather forecast for today and tomorrow	date
2289	i want to know if it's going to be humid in redwood city.	location&weather_attribute
2290	car i'd like to have some coffee, please show me the closest cafe	distance&poi_type
2291	yes, please, just pick the quickest route!	distance&poi
2292	what's the weekly forecast	date
2293	menlo park, what's the highest temperature for the week?	date&location&weather_attribute
2294	schedule a meeting for monday the 1st	date&event
2295	take me to the nearest hospital	distance&poi_type
2296	yes please.	poi
2297	what is the date of my optometrist appointment and who will be attending it?	event
2298	can you give me the weather this week for new york city	date&location
2299	take me to the nearest shopping center	distance&poi_type
2300	sounds great. get me the quickest route please.	distance
2301	where does my friend live?	poi_type
2302	which one has the least traffic to get there?	traffic_info
2303	get me the time of the doctor's appointment	event
2304	where is the nearest parking garage?	distance&poi_type
2305	great thank you	distance&poi&poi_type
2306	can you tell me if carson is going to be cloudy this weekend?	date&location&weather_attribute
2307	is there a philz here?	poi
2308	any other coffee?	poi_type
2309	when and where is my conference and who is attending?	event
2310	5pm on the 20th.	date&event&time
2311	where is the nearby grocery store?	distance&poi_type
2312	is there no traffic on our route?	traffic_info
2313	i guess it will have to do, set the gps please.	distance&poi&poi_type&traffic_info
2314	what is the local weather forecast for this week	date
2315	will it be humid in new york?	location&weather_attribute
2316	what is the date and time i should take my medicine?	event
2317	please remind me to take my medicine at 7 pm today with my mother.	date&event&party&time
2318	what day are the football parties i'm going to?	event
2319	is it going to rain in new york next week?	date&location&weather_attribute
2320	i'm really in need of coffee: is there anything with no traffic between my coffee and me?	poi_type&traffic_info
2321	is there any route with no traffic to reach it?	traffic_info
2322	schedule meeting	event
2323	schedule tennis for 10am on the tenth with tom	date&event&party&time
2324	schedule  a reminder that i have an optometrist appointment at 4 pm with alex next month on the 13th.	date&event&party&time
2325	find me a gas station and the quickest way there	poi_type&traffic_info
2326	yes thank you. 	poi
2327	schedule a conference at 1 pm with management. 	event&party&time
2328	need directions to the nearest hotel	distance&poi&poi_type
2329	yes please, with the quickest route.	distance&poi
2330	what's the shortest distance to the nearest rest stop?	distance&poi_type
2331	ok, please direct me there by the shortest distance. 	distance
2332	will it be dry in carson on thursday?	date&location&weather_attribute
2333	remind me about going swimming on the 7th with dad, at 2 pm	date&event&party&time
2334	navigate to the nearest mall	distance&poi
2335	pick a quick route to get there please	distance
2336	set a meeting in the conference room 100	event&room
2337	schedule a tennis activity for 3 pm on saturday with my father.	date&event&party&time
2338	give me the full weekly weather forecast	date
2339	san mateo, please	date&location&weather_attribute
2340	take me to the closest parking	distance&poi
2341	yes, give me the address and, please, avoid heavy traffic and pick the quickest one to be reached	distance&traffic_info
2342	sounds good.	poi
2343	where's parking	poi_type
2344	which one is nearer to me? find the quickest route to get there, please	distance
2345	is it gonna be humid in san jose on the next week?	date&location&weather_attribute
2346	i need information about my yoga. 	event
2347	will it be windy in cleveland thursday?	date&location&weather_attribute
2348	where's the nearest shopping mall	distance&poi
2349	yes please.	poi
2350	i'm in inglewood. which one is it the weather forecast for the next two days?	date&location
2351	will the weather be overcast in atherton over the next 7 days?	date&location&weather_attribute
2352	what is the 7 day forecast for atherton next week?	date&location
2353	what are the directions for the nearest shopping center without traffic?	distance&poi_type&traffic_info
2354	yes, please give me the address and directions via a route that avoids as much heavy traffic as possible. 	distance&poi_type&traffic_info
2355	tell me the temperature for this week	date&weather_attribute
2356	manhattan	location
2357	set a reminder for the conference	event
2358	find nearest chinese restaurant	distance&poi
2359	let's go there, just pick the fastest route	traffic_info
2360	when is the meeting	event
2361	i want pizza.	poi_type
2362	yes please find the quickest route. 	traffic_info
2363	please give me the address and load directions. thank you. 	poi
2364	can you give me directions to the grocery store	poi_type
2365	is it going to snow any this week	date&weather_attribute
2366	alhambra.	location
2367	remind me that i have a meeting tomorrow	date&event
2368	car i want to do some shopping in some local shopping center: is there any nearby?	distance&poi_type
2369	what is the address?	distance&poi&poi_type
2370	set a reminder for a meeting to sign the nda on the 7th at 2pm with the vice president 	agenda&date&event&party&time
2371	set reminder for yoga classes on the 12th of this month	agenda&date&event
2372	i need the reminder at 7pm for the yoga class on december 12th.	date&event
2373	tell me when i'm going swimming	event
2374	schedule a tennis activity with alex on the 13th at 11am.	date&event&party&time
2375	what time is my yoga appointment	event
2376	what time is my football activity and who is attending?	event
2377	show me the weather for the next 7 days	date
2378	find out if there will be anyt frost in camarillo 	location&weather_attribute
2379	what is the weather for today	date
2380	downtown chicago	location
2381	find a chinese take-out spot near my location.	distance&poi_type
2382	which has the least traffic?	traffic_info
2383	san francisco on sunday.	date&location
2384	get directions to the nearest hotel	distance&poi_type
2385	what is the address of the nearest rest stop?	distance&poi_type
2386	check out my appointment	event
2387	doctor appointment, i need to find out the agenda. 	agenda&event
2388	find out what time my eye doctor appointment is	event
2389	tell me how to get to shopping mall	poi_type
2390	will it be misty in alhambra on monday?	date&location&weather_attribute
2391	is there going to be dew in san francisco on thursday?	date&location&weather_attribute
2392	give me this week's high temperature	date&weather_attribute
2393	redwood city	location
2394	will it be foggy in alameda on saturday?	date&location&weather_attribute
2395	get me the home address of my friend that is the closest to my location.	distance&poi_type
2396	please pick the quickest route to go there and send the info on my screen	distance
2397	schedule an optometrist appointment next friday at 4 pm with tom	date&event&party&time
2398	when am i taking my medicine	event
2399	jon	event&party
2400	find me a hospital with the least amount of traffic on the way.	poi_type&traffic_info
2401	yes i need the fastest route please.	distance&poi
2402	what is the date and time of the meeting	event
2403	check and see if it will be humid in inglewood on tuesday	date&location&weather_attribute
2404	what's the weather like in downtown chicago	location
2405	set a reminder for the 15th at 6pm. conference with the executive team. 	agenda&date&event&time
2406	schedule a meeting at 4pm today, with the boss, to discuss dress code	agenda&date&event&party&time
2407	can you give me the weather this week for new york city	date&location
2408	please schedule a dentist appointment at 3pm the 7th, with aunt.	date&event&party&time
2409	get directions to the nearest parking garage	distance&poi_type
2410	will it hail in menlo park on monday?	date&location&weather_attribute
2411	i want coffee.	poi_type
2412	what is the address?	address
2413	what is the traffic like to that location?	traffic_info
2414	no, i would like to avoid any heavy traffic please.	traffic_info
2415	will there be rain in the forecast for cleveland for the next 7 days?	date&location
2416	where do i live?	poi_type
2417	what time is my next football activity and who will be attending?	event
2418	how long to the nearest grocery store	poi_type
2419	i need to schedule a conference room	event
2420	show me nearby parking	distance&poi_type
2421	can you find the quickest route to get there?	distance
2422	where can i eat pizza?	poi_type
2423	i'm looking for a place to eat can you show me directions to the nearest fast food restaurant	distance&poi_type
2424	yes please, the address.	poi
2425	is this within 3 miles? if so please give me route details.	distance
2426	is there any rain in the local forecast	weather_attribute
2427	i would like to know for san mateo.	location&weather_attribute
2428	i need to find out the date and time of my dentist appointment, please. 	event
2429	check the weather for today	date
2430	is it raining in exeter today?	date&location&weather_attribute
2431	remind me about meeting later	event
2432	the meeting is at 7 pm	event&time
2433	please give the address and directions via the fastest route to a hospital. 	distance&poi_type
2434	where is my home?	poi&poi_type
2435	what is the current high temperature in atherton? 	date&location&weather_attribute
2436	schedule a dentist appointment with ana for the 15th of this month at 2pm.	date&event&party&time
2437	find weekly weather forecast	date&weather_attribute
2438	durham, will it be cloudy this week?	date&location&weather_attribute
2439	please tell me about the time and date my next meeting is scheduled for and what i hope to accomplish it	event
2440	where's parking	poi_type
2441	where can i get groceries?	poi_type
2442	please pick the quickest route to get there, thank you!	distance&poi
2443	is snow forecasted this week	date&weather_attribute
2444	will it snow in redwood city?	location&weather_attribute
2445	set a reminder for tennis at 2 pm with tom next month on the 13th.	date&event&party&time
2446	where is the nearest grocery store	distance&poi_type
2447	i need to go home and avoid the heavy traffic. 	poi_type&traffic_info
2448	am i more than 3 miles away right now?	distance
2449	ok avoid all heavy traffic with the fasest route home	distance&poi&poi_type&traffic_info
2450	what's the temperature going to be this week	date&weather_attribute
2451	fresno	location
2452	show me directions to the nearest starbucks	distance&poi&poi_type
2453	yes please that sounds good. 	distance&poi&poi_type
2454	schedule a meeting for 6 pm with hr	event&party&time
2455	the meeting is one week from today	date&event
2456	add tennis on wednesday at 5 to my calendar	agenda&event&time
2457	yes, set a reminder for tennis activity at 5 pm on wednesday at 3pm.	event&time
2458	what time do i need to take my medicine? 	event
2459	set a reminder for dentist appointment at 5 pm on the 2nd with ana. 	date&event&party&time
2460	find out the date and time for my swimming activity. 	event
2461	find me a place where i can buy coffee or tea	poi_type
2462	yes sounds good. 	poi
2463	please pick the quickest available route and send the info on my screen	address&distance&poi&poi_type&traffic_info
2464	get the address to my home that is within 3 miles and hurry.	address&poi&poi_type
2465	who is attending my swimming activity and when is it?	event
2466	find me a place i can go to sit and drink coffee or tea	poi_type
2467	yes, please, if it has the fastest route to it.	poi&poi_type
2468	yes let's try the one with moderate traffic. 	poi&traffic_info
2469	any chinese restaurant around me?	distance&poi_type
2470	ok, please direct me via the fasted available route. 	distance
2471	schedule a football activity with martha on sunday at 4pm.	date&event&party&time
2472	is it supposed to rain this week	date&weather_attribute
2473	the big apple, new york city!	date&location&weather_attribute
2474	give me the 7 day weather forecast	date
2475	i need to see if it will rain this week in manhattan please car. 	date&location&weather_attribute
2476	what is the time and date for my yoga activity?	event
2477	will it be foggy in seattle today and tomorrow?	date&location&weather_attribute
2478	thank you car!	date&location&weather_attribute
2479	what time is my meeting, what is the agenda, and who is going?	event
2480	find me the best parking spot	poi_type
2481	please guide me to the closest parking garage. 	distance&poi_type
2482	car i need a hotel, please find something near my current location	distance&poi_type
2483	please pick a route with no traffic and let's go there, thank you!	address&distance&poi&poi_type&traffic_info
2484	what day and time is my football activity?	event
2485	what is the date and time of my next swimming activity?	event
2486	set a reminder for doctor's appointment	event
2487	did you get the time or date?	date&time
2488	is it going to snow this week	date&weather_attribute
2489	san francisco.	date&location&weather_attribute
2490	remind me about dinner tonight	date&event
2491	dinner is at 7 pm tonight.	date&event&time
2492	what is the weather like today and tomorrow	date
2493	is the weather overcast in seattle today?	date&location&weather_attribute
2494	let me know if there will be snow and ice in the next week's forecast	date&weather_attribute
2495	in mountain view, please	date&location&weather_attribute
2496	where can i get gas?	poi_type
2497	pick the quickest one to reach, the one in the shortest distance	distance
2498	where is chevron?	poi
2499	yes, set the gps to that with route details and the quickest route and shortest time	distance&poi&traffic_info
2500	what's the weather like today	date
2501	brentwood, please. what is today's temperature?	date&location&weather_attribute
2502	look at today and tomorrow and tell me if it will be cloudy in compton	date&location&weather_attribute
2503	where can i get chinese food?	poi_type
2504	please pick the fastest route to get there and send the info on the gps, thank you!	poi
2505	locate a parking garage around my current location.	poi_type
2506	is it going to snow today	date&weather_attribute
2507	i need to know this for redwood city, today please. 	date&location
2508	set a reminder that i have a lab appointment with my aunt next wednesday at 1pm	date&event&party&time
2509	mountain view for the next 7 days please. 	date&location
2510	will it be overcast?	weather_attribute
2511	check to see if it will be windy in brentwood the next few days	date&location&weather_attribute
2512	car what is the date and time of my next appointment with my optometrist	event&room
2513	i need a no traffic route to a rest stop. 	poi_type&traffic_info
2514	i feel like some coffee where's the nearest place	distance&poi_type
2515	it sound good! please pick a quick route and show me the map on screen	distance
2516	what's the weather like today and tomorrow	date
2517	in durham, will it rain?	date&location&weather_attribute
2518	set a reminder for a conference with vice president at 3 pm on saturday. 	date&event&party&time
2519	will it be cloudy in oakland this week?	date&location&weather_attribute
2520	what is the weather like today	date
2521	i need today's weather for cleveland, and i need to know if it will be misty. 	date&location&weather_attribute
2522	is there any stormy weather predicted in corona over the next 48 hours?	date&location&weather_attribute
2523	find out the parties attending and the time for my soonest lab appointment. 	event
2524	car my home should be around here, please send me the info on screen, i must be a little drunk..	distance&poi&poi_type
2525	what is the address?	address&poi
2526	please give me the address and directions to my friend's house by the fastest possible route without heavy traffic.	distance&poi_type&traffic_info
2527	what is the weather for next week	date
2528	i will traveling to mountain view so i need information for there please.	date&location
2529	for the whole week, please!	date&location
2530	will it be cloudy this week	date&weather_attribute
2531	please check for san francisco.	date&location&weather_attribute
2532	set up a group meeting at the conference room for next week	event&room
2533	start listening what will be the weather for the week	date
2534	durham please.	location
2535	where can i find a rest stop?	poi_type
2536	set gps for the quickest route please.	distance
2537	will it be cloudy	weather_attribute
2538	san francisco please.	location&weather_attribute
2539	please give me the address and directions via the shortest distance to a rest stop around here. 	distance&poi_type
2540	schedule a conference with the sales team on the 6th at 9am.	date&event&party&time
2541	how is the weather this week	date
2542	mountain view, is it supposed to rain?	location&weather_attribute
2543	get me directions to the nearest shopping mall	distance&poi_type
2544	i wish we could avoid the traffic but i guess this will do. what's the address?	traffic_info
2545	please give me the address and directions for a hotel within 4 miles of here, avoiding all heavy traffic. 	distance&poi_type&traffic_info
2546	i need to set up a reminder to go to the dentist	agenda&event&room
2547	3pm on tuesday. 	event&room&time
2548	set a reminder for the conference	event
2549	1 pm	time
2550	is it going to be cloudy this week	date&weather_attribute
2551	alameda, please.	date&location&weather_attribute
2552	what is the weather going to be like tomorrow show me the 7 day forecast	date
2553	sorry, i actually need to know what the highest temperature will be in corona tomorrow. 	date&location&weather_attribute
2554	confirm that the meeting for the 12th this month is on at approximately 5 pm	date&event&time
2555	will i be able to make it to my meeting on time	event
2556	what is the highest temperature in san jose on thursday?	date&location&weather_attribute
2557	i need a reminder set for football activity on august 22th at 5 pm with jeff. 	date&event&party&time
2558	please set a conference reminder. i need it at 10 am, the tenth, with my vice president. 	date&event&party&time
2559	i need a quick route to a gas station. 	distance&poi_type
2560	please schedule my yoga class at 1pm on thursday with jon.	event&party&time
2561	what's the weather forecast in new york	location
2562	okay, will it be humid in new york next week?	date&location&weather_attribute
2563	can you find out the date and parties attending for my tennis activity? 	event
2564	what's the forecast for the weather today	date
2565	i want to know chicago's weather. 	location
2566	find the nearest gas station near my currently location.	distance&poi_type
2567	what's the weather going to be like today	date
2568	will it drizzle in iniglewood?	location&weather_attribute
2569	what is the weather like in new york this week	date&location
2570	what's the forecast in carson for this weekend?	date&location
2571	is it gonna rain in manhattan today and tomorrow?	date&location&weather_attribute
2572	navigate to my friend's home please	poi
2573	actually i need to go home, the quickest route please. 	poi&traffic_info
2574	thanks.	address&distance&poi&poi_type&traffic_info
2575	ok well set the gps to there please.	address&distance&poi&poi_type&traffic_info
2576	when and where is my next meeting	event
2577	i have a doctor appointment next month on the 13th at 11 am with tom. please set a reminder. 	date&event&party&time
2578	tell me the weather for this week	date
2579	i want to know if it will be warm in boston	location&weather_attribute
2580	schedule a meeting for 2 pm	event&time
2581	set a reminder for an optometrist appointment with jeff later this week at 3pm	date&event&party&time
2582	saturday. thanks.	date
2583	schedule a optometrist appointment with tom today at 7pm.	date&event&party&time
2584	yes, today. 	date
2585	i want to know if there is a blizzard in the forecast for san jose for this weekend. 	date&location&weather_attribute
2586	will it be cloudy this week	date&weather_attribute
2587	san mateo.	location
2588	what is the weather for today	date
2589	i need to know the temperature in san francisco today.	date&location&weather_attribute
2590	please give me directions to the nearest starbucks	distance&poi
2591	check calendar for when my doctor's appointment is	event
2592	what's the quickest route to the hospital?	distance&poi_type
2593	i would rather go to stanford express please. what's the address?	poi
2594	make a note to find a restaurant to eat at at 5 pm on the 12th	date&event&time
2595	i would like to schedule a meeting on the 12th what is my agenda for that day	date&event
2596	will it snow next week in atherton?	date&location&weather_attribute
2597	will it be warm on sunday in alameda?	date&location&weather_attribute
2598	will it snow this week	date&weather_attribute
2599	manhattan.	location
2600	where can i get chinese food?	poi_type
2601	please direct me via the quickest route. 	distance
2602	show the route to my friend's house	poi&poi_type
2603	is it raining next week	date&weather_attribute
2604	exeter please, find out if there is going to be rain next week.	location&weather_attribute
2605	is it going to rain sometime this week	date&weather_attribute
2606	i need to know about san mateo. 	location
2607	i need to schedule a lab appointment. 	event
2608	it is at 1pm on wednesday with sister. 	date&event&party&time
2609	take me to my friend's house	poi_type
2610	yes, please, i wanted to mean my home.. just avoid all heavy traffic!	poi&poi_type&traffic_info
2611	would you confirm the address of home, please?	address
2612	where can i get groceries?	poi_type
2613	how do i get to the nearest restaurant	poi_type
2614	sure, thanks, pick a quick route too please	traffic_info
2615	set a reminder for dinner at 5pm on the 6th with jeff.	date&event&party&time
2616	schedule a swimming activity at 9am on august 22nd with ana.	date&event&party&time
2617	is it overcast now in grand rapids?	date&location&weather_attribute
2618	i want to do some shopping. direct me to a mall, but in a way that avoids all traffic. 	poi_type&traffic_info
2619	ok, please give me the address and direct me via the route that avoids most traffic.	traffic_info
2620	remind me about a optometrist appointment on tuesday at 2 pm, my sister will be coming	date&event&party&time
2621	locate a place that serves pizza.	poi_type
2622	which is closer?	distance
2623	ok let's go to pizza chicago then since it's closest. 	distance&poi
2624	car find me a grocery store within 2 miles from my location with the shortest distance.	distance&poi_type
2625	yes, please direct me via the shortest distance. 	address&distance&poi&poi_type
2626	where does my friend live?	poi_type
2627	yes and please take me the fastest way?	traffic_info
2628	which one is gonna be the lowest temperature today in new york?	location&weather_attribute
2629	who is coming to my doctor appointment with me?	event
2630	i need the fastest route home. 	distance&poi_type
2631	tell me the weather forecast for this week	date
2632	manhattan, please. there will be clear skies?	location&weather_attribute
2633	directions to local hotel	poi_type
2634	yes that sounds perfect. 	poi
2635	yes, set it to the quickest route.	distance&poi
2636	will it rain this week	date&weather_attribute
2637	corona.	location
2638	how's the weather in new york	location
2639	car i need a gas station!	poi_type
2640	can you set gps and navigate us there?	address&distance&poi&poi_type
2641	what's the weather forecast for the next week	date
2642	i am needing information for mountain view please.	date&location
2643	look for parking	poi_type
2644	let's avoid all heavy traffic and send me its address on screen please	traffic_info
2645	where can i get chinese food?	poi_type
2646	i need to know if it will be cloudy in san jose over the next seven days	date&location&weather_attribute
2647	what time is dinner and who is coming?	event
2648	the one on the 20th.	date&party&time
2649	what's the weather going to be like today and tomorrow	date
2650	can you tell me if it's going to be hot in mountain view?	date&location&weather_attribute
2651	car i need to fill your gas, please show me a gas station near me in the direction we're actually driving	distance&poi_type
2652	how is the traffic there? i need to have no traffic. 	traffic_info
2653	find a chinese joint that is within 3 miles of my location.	distance&poi_type
2654	will it be foggy in menlo park today?	date&location&weather_attribute
2655	what's the weather like in grand rapids	location
2656	will it be cloudy on wednesday?	date&weather_attribute
2657	what is the address of  my friend's house?	poi_type
2658	pick the quickest one please and avoid all heavy traffic on our route	traffic_info
2659	what is the highest temperature in manhattan in the next 2 days?	date&location&weather_attribute
2660	find out when my next conferences	event
2661	is there a chance of snow in this weeks weather forecast	date
2662	downtown chicago please.	location
2663	get me the address to the closest gas station.	distance
2664	get me the weather forecast for the next 7 days	date
2665	i'm currently in cleveland.	date&location
2666	can you check the time and date of my dinner?	event
2667	i need you to set a schedule for a meeting at 3pm, the 5th with vice president to onboard new members	agenda&date&event&party&time
2668	add meeting in conference room 102 the calendar	event&room
2669	set a reminder for dinner at 1pm on the 10th with my father. 	date&event&party&time
2670	what time is my optometrist appointment and who will be attending it?	event
2671	please give me an address and directions by the fastest route with no traffic to a chinese restaurant. 	distance&poi_type&traffic_info
2672	yes please. 	distance&poi_type&traffic_info
2673	reminder for optometrist. 	event
2674	it's at 6 pm on the 11th with my brother	date&event&party&time
2675	i need it for seattle.	location
2676	what time is my doctor appointment and who is attending with me?	event
2677	good evening car, set a reminder about a swimming activity at 3pm, december 10th with aunt, set it for 1pm.	date&event&party&time
2678	what time should i get my shot this afternoon	date&event
2679	set a schedule for a meeting at 5pm, 6th of this month with hr to sign the nda.	agenda&date&event&party&time
2680	will it be clear in san mateo on wednesday?	date&location&weather_attribute
2681	can you please take me to a coffee house	poi_type
2682	the one with the quickest route which looks like philz. 	distance&poi
2683	yes please. 	poi
2684	what's the temperature outside like today	date&weather_attribute
2685	i'm in new york	location
2686	car is it going to snow today	date&weather_attribute
2687	chicago.	location
2688	how warm is it outside right now	date&weather_attribute
2689	compton	date&location&weather_attribute
2690	will it be dry in durham on sunday? 	date&location&weather_attribute
2691	i am hungry. where is there some chinese food close by? 	distance&poi_type
2692	what are the directions to the nearest hospital	distance&poi_type
